date,time_index,patchclass,patch_lat,patch_lon,patch_weights,obs_tb_h,obs_tb_v,sim_tb_h,sim_tb_v,sim_tb_h_patch,sim_tb_v_patch,beta_surf_r,beta_surf_r_D85,sigma_surf,sigma_surf_D85,eps_surf_r,eps_surf_r_M09,eps_surf_r_D85,eps_surf_i,eps_surf_i_M09,eps_surf_i_D85,hr,surface_sm,surface_t,surface_clay,surface_sand,lai,sai,htop,surface_porsl,surface_BD_all,forc_topo,ffrz,t_eff_array,r_s_h,r_s_v,r_r_h,r_r_v
2016-01-01-20,20,10,-20.626389,138.354173,1.000000,225.434875,260.213684,256.175598,276.017792,256.175598,276.017792,1.375501,1.022809,0.157969,1.407532,9.623841,9.955989,14.958690,0.964305,1.600709,3.162148,0.976618,0.253513,22.765594,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,295.259766,0.357954,0.175029,0.134799,0.065913
2016-01-02-20,44,10,-20.626389,138.354173,1.000000,223.517456,257.614929,255.504608,275.029785,255.504608,275.029785,1.376725,1.022809,0.157493,1.407532,9.537172,9.800241,14.873408,0.979533,1.559814,3.165137,0.986066,0.251030,21.340027,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,293.849945,0.356222,0.173608,0.132886,0.064763
2016-01-07-20,164,10,-20.626389,138.354173,1.000000,270.151306,288.076965,262.573792,281.871887,262.573792,281.871887,1.466734,1.022809,0.126740,1.407532,7.939519,9.133333,13.834814,0.770135,1.431616,2.950754,0.968449,0.237845,26.113434,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,298.082153,0.319051,0.144292,0.121135,0.054784
2016-01-09-20,212,10,-20.626389,138.354173,1.000000,269.484894,288.823792,264.737701,284.159790,264.737701,284.159790,1.482271,1.022809,0.120116,1.407532,7.667615,9.021715,13.595937,0.717193,1.415877,2.897426,0.958526,0.235262,28.197266,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,300.035889,0.311876,0.138898,0.119591,0.053262
2016-01-10-20,236,10,-20.626389,138.354173,1.000000,271.096558,290.081696,265.809204,285.184387,265.809204,285.184387,1.488826,1.022809,0.116788,1.407532,7.516242,8.899555,13.432643,0.694700,1.390106,2.868151,0.957385,0.232836,28.691406,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,300.779633,0.307796,0.135869,0.118161,0.052160
2016-01-12-20,284,10,-20.626389,138.354173,1.000000,263.680725,287.692810,265.412354,285.184723,265.412354,285.184723,1.479185,1.022809,0.121633,1.407532,7.788591,9.198946,13.739486,0.718538,1.462407,2.912927,0.950368,0.238323,29.276825,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,301.532715,0.315010,0.141245,0.121782,0.054605
2016-01-15-20,356,10,-20.626389,138.354173,1.000000,273.633179,291.623932,268.323242,287.763000,268.323242,287.763000,1.498874,1.022809,0.110078,1.407532,7.256428,8.695871,13.114933,0.644106,1.351226,2.806665,0.950227,0.228496,30.482025,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,302.978302,0.300542,0.130555,0.116206,0.050480
2016-01-17-20,404,10,-20.626389,138.354173,1.000000,271.993958,291.974304,266.558868,286.106995,266.558868,286.106995,1.491688,1.022809,0.115229,1.407532,7.483585,8.929255,13.406899,0.678275,1.402730,2.856603,0.950503,0.233104,29.879730,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,301.781586,0.306857,0.135177,0.118614,0.052252
2016-01-18-20,428,10,-20.626389,138.354173,1.000000,267.789124,288.630127,265.047272,284.419067,265.047272,284.419067,1.483133,1.022809,0.119681,1.407532,7.635539,8.976179,13.557825,0.716453,1.404227,2.893068,0.960479,0.234466,27.944641,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,300.197723,0.311035,0.138271,0.119036,0.052918
2016-01-20-20,476,10,-20.626389,138.354173,1.000000,253.635925,280.512909,265.999664,285.543396,265.999664,285.543396,1.486440,1.022809,0.118094,1.407532,7.596361,9.001380,13.529010,0.699939,1.415375,2.881136,0.954102,0.234671,29.054108,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,301.396637,0.309938,0.137457,0.119375,0.052942
2016-01-23-20,548,10,-20.626389,138.354173,1.000000,243.950714,271.718506,267.851593,287.542847,267.851593,287.542847,1.495499,1.022809,0.112838,1.407532,7.408432,8.901569,13.323609,0.658073,1.401818,2.836879,0.944818,0.232302,30.979919,48.302303,34.406849,0.374734,0.098358,0.500000,0.599348,1.577520,233.307419,0.000000,303.201630,0.304753,0.133630,0.118473,0.051949
